%s already exists,%s ya existe
%s already exist,%s ya existe
-- Please Select --,-- Por favor seleccione --
Add Store Code to Urls,Añadir el código de tienda a las URLs
Invalid layout update handle,Actualización de layout inválida
Add Block Names to Hints,Add Block Names to Hints
Add Secret Key to URLs,Add Secret Key to URLs
Admin,Admin
Admin Base URL,Admin Base URL
Admin User Emails,Admin User Emails
"Unknown scope ""%s""","Alcance desconocido ""%s"""
Before modifying the website code please make sure that it is not used in index.php,"Antes de modificar el código  del sitio web, asegúrese de que no está en uso en su index.php"
Before modifying the store view code please make sure that it is not used in index.php,"Antes de modificar el código de la vista de tienda, asegúrese de que no está en uso en su index.php"
Please make sure your passwords match.,Asegúrese de que sus contraseñas coinciden.
Customer support,Atención al cliente
Advanced,Avanzado
Template Path Hints,Ayuda de rutas de la plantilla
Are you sure?,¿Está seguro?
Invalid block: %s,Bloque inválido: %s
Blocks HTML output,Bloquear salida HTML
Delete,Borrar
Delete Website,Borrar el sitio web
Delete Store,Borrar la tienda
Delete Store View,Borrar la vista de tienda
Search,Buscar
Header,Cabecera
HTML Head,Cabecera HTML
Design Change,Cambio de diseño
This is a required field.,Campo requerido.
Cancel,Cancelar
Cannot complete this operation from non-admin area.,Cannot complete this operation from non-admin area.
Root Category,Categoría raíz
Category object is required for determining product request path,Category object is required for determining product request path
Code,Código
Cookie Lifetime,Ciclo de vida de la cookie
Model class does not exist: %s,Clase de modelo no existe: %s
Collections Data,Collections Data
Configuration,Configuración
SMTP settings (Windows server only),Configuraciones de SMTP (sólo para servidor Windows)
General Settings,Configuraciones generales
General contact,Contacto general
Copyright,Copyright
Custom email 1,Correo electrónico personalizado 1
Custom email 2,Correo electrónico personalizado 2
Create Website,Crear un sitio web
Create Store,Crear una tienda
Create Store View,Crear una vista de tienda
Custom admin URL,Custom admin URL
Default Keywords,Default Keywords
Default Robots,Default Robots
Leave empty for access from any location,Dejar en blanco para acceder desde cualquier lugar
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
Debug,Depurar
Developer,Desarrollador
Default Description,Descripción por defecto
Disable email communications,Deshabilitar comunicaciones por correo electrónico
Disable modules output,Deshabilitar salida de módulos
Store Email Addresses,Direcciones de correo electrónico de la tienda
Layout,Diseño
Design,Diseño
Custom Design,Diseño personalizado
Cookie Domain,Dominio de la cookie
Duplicate Of Template Code,Duplicado de código de plantilla
Edit Design Change,Editar el cambio de diseño
Edit Website,Editar el sitio web
Edit Store,Editar la tienda
Edit Store View,Editar la vista de tienda
"Invalid messages storage ""%s"" for layout messages initialization","El almacenamiento de mensajes es inválido ""%s"" para iniciación de mensajes de layout"
Controller file was loaded but class does not exist,El archivo controlador fue cargado pero la clase no existe
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element",El argumento para actualizar el layout es inválido. Se esperaba Mage_Core_Model_Layout_Element
"Block with name ""%s"" already exists","El bloque con el nombre ""%s"" ya existe"
Invalid transactional email code: ,El código de correo electrónico transaccional es inválido:
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El código de la tienda debe contener sólo letras (a-z), números (0-9) o guiones bajos(_), el primer carácter debe ser una letra."
